DATE,TAVG,TMAX,TMIN,PRCP,AWND,SNWD
01/01/2018,-2,1,-9,0.0,10.74,1.2
01/02/2018,-2,8,-9,0.0,11.18,1.2
01/03/2018,11,17,6,0.0,12.3,1.2
01/04/2018,7,12,0,0.0,12.3,1.2
01/05/2018,5,11,-1,0.0,10.74,1.2
01/06/2018,5,17,-2,0.0,6.49,1.2
01/07/2018,17,33,8,0.03,14.99,1.0
01/08/2018,34,37,31,0.0,11.86,1.2
01/09/2018,31,36,26,0.0,6.04,0.0
01/10/2018,37,56,30,0.01,15.88,0.0
01/11/2018,56,59,23,0.36,16.33,0.0
01/12/2018,23,23,14,0.0,19.91,0.0
01/13/2018,13,16,6,0.0,9.84,0.0
01/14/2018,12,21,5,0.08,9.4,0.0
01/15/2018,19,24,10,0.14,10.96,2.0
01/16/2018,15,26,9,0.01,11.86,3.1
01/17/2018,13,20,4,0.0,12.3,3.1
01/18/2018,21,32,16,0.0,14.99,2.0
01/19/2018,32,40,28,0.0,16.78,2.0
01/20/2018,39,45,32,0.0,8.28,0.0
01/21/2018,40,44,36,0.0,3.8,0.0
01/22/2018,47,54,38,0.81,12.53,0.0
01/23/2018,35,39,28,0.07,12.75,0.0
01/24/2018,29,30,27,0.02,6.49,1.2
01/25/2018,31,43,24,0.0,9.62,1.2
01/26/2018,41,51,33,0.0,18.57,0.0
01/27/2018,47,50,36,0.0,12.3,0.0
01/28/2018,35,40,28,0.01,8.72,0.0
01/29/2018,27,30,17,0.0,12.08,0.0
01/30/2018,21,31,15,0.0,10.51,0.0
01/31/2018,35,42,31,0.0,13.87,0.0
02/01/2018,28,35,8,0.0,15.43,0.0
02/02/2018,11,22,5,0.0,10.29,0.0
02/03/2018,26,41,22,0.03,13.2,0.0
02/04/2018,26,35,4,0.08,13.42,1.2
02/05/2018,6,12,-3,0.22,6.93,2.0
02/06/2018,12,21,3,0.02,5.37,3.9
02/07/2018,17,20,8,0.11,9.4,3.9
02/08/2018,13,21,7,0.15,6.93,3.9
02/09/2018,24,28,18,0.57,10.74,7.9
02/10/2018,19,22,14,0.05,9.62,9.8
02/11/2018,20,22,11,0.39,10.07,11.8
02/12/2018,15,27,4,0.0,6.26,11.8
02/13/2018,20,35,7,0.0,6.26,11.0
02/14/2018,32,44,24,0.0,9.62,9.8
02/15/2018,41,48,38,0.0,6.26,3.9
02/16/2018,36,37,20,0.0,10.07,0.0
02/17/2018,25,35,17,0.11,8.5,0.0
02/18/2018,27,41,12,0.02,10.74,2.0
02/19/2018,42,60,37,0.52,12.08,0.0
02/20/2018,59,66,34,2.1,13.2,0.0
02/21/2018,32,34,27,0.04,10.96,0.0
02/22/2018,33,40,29,0.0,13.2,0.0
02/23/2018,40,44,33,0.06,9.4,0.0
02/24/2018,36,50,33,0.16,13.2,0.0
02/25/2018,40,50,34,0.01,17.9,0.0
02/26/2018,40,53,28,0.0,8.72,0.0
