DATE,TAVG,TMAX,TMIN,PRCP,AWND,SNWD
01/01/2018,19,26,13,0.0,11.63,0.0
01/02/2018,18,26,13,0.0,7.83,0.0
01/03/2018,23,35,13,0.0,3.8,0.0
01/04/2018,26,27,16,0.1,19.91,1.2
01/05/2018,17,21,13,0.0,15.66,1.2
01/06/2018,15,21,11,0.0,13.42,0.0
01/07/2018,15,23,8,0.0,8.95,0.0
01/08/2018,25,39,19,0.06,8.5,0.0
01/09/2018,38,51,30,0.0,5.37,0.0
01/10/2018,36,43,27,0.0,3.36,0.0
01/11/2018,46,62,38,0.0,4.47,0.0
01/12/2018,60,64,57,0.37,12.08,0.0
01/13/2018,45,62,21,0.11,19.69,0.0
01/14/2018,23,28,17,0.0,12.97,0.0
01/15/2018,24,32,18,0.0,6.93,0.0
01/16/2018,33,43,30,0.0,3.8,0.0
01/17/2018,30,37,20,0.03,15.88,0.0
01/18/2018,29,47,19,0.0,8.95,0.0
01/19/2018,38,51,25,0.0,6.04,0.0
01/20/2018,40,63,28,0.0,6.26,0.0
01/21/2018,44,61,32,0.0,4.92,0.0
01/22/2018,54,65,47,0.0,8.05,0.0
01/23/2018,57,68,47,0.11,11.86,0.0
01/24/2018,46,48,35,0.0,12.97,0.0
01/25/2018,37,42,31,0.0,10.07,0.0
01/26/2018,37,50,28,0.0,5.14,0.0
01/27/2018,47,63,38,0.0,12.97,0.0
01/28/2018,52,57,47,0.16,6.93,0.0
01/29/2018,47,48,41,0.0,10.74,0.0
01/30/2018,37,41,24,0.0,16.78,0.0
01/31/2018,27,41,21,0.0,10.74,0.0
02/01/2018,43,54,40,0.02,10.29,0.0
02/02/2018,37,43,19,0.04,15.21,0.0
02/03/2018,24,36,17,0.0,10.51,0.0
02/04/2018,34,37,33,1.12,7.83,0.0
02/05/2018,35,39,27,0.0,9.84,0.0
02/06/2018,33,43,28,0.0,5.82,0.0
02/07/2018,35,43,33,0.49,6.93,0.0
02/08/2018,34,38,26,0.0,10.51,0.0
02/09/2018,35,46,27,0.0,6.04,0.0
02/10/2018,43,50,39,1.06,4.92,0.0
02/11/2018,53,68,45,1.05,6.93,0.0
02/12/2018,53,65,37,0.09,12.75,0.0
02/13/2018,38,43,33,0.0,8.5,0.0
02/14/2018,40,53,34,0.03,7.16,0.0
02/15/2018,55,74,47,0.01,10.51,0.0
02/16/2018,62,67,40,0.05,12.53,0.0
02/17/2018,39,44,34,0.42,8.28,0.0
02/18/2018,40,51,33,0.0,6.26,0.0
02/19/2018,42,50,40,0.02,7.61,0.0
02/20/2018,58,78,49,0.0,12.3,0.0
02/21/2018,67,82,56,0.0,12.75,0.0
02/22/2018,60,67,43,0.06,12.3,0.0
02/23/2018,44,48,41,0.0,5.82,0.0
02/24/2018,50,53,48,0.16,6.26,0.0
02/25/2018,50,54,47,0.17,4.03,0.0
02/26/2018,51,53,41,0.0,6.71,0.0
02/27/2018,47,58,36,0.0,6.49,0.0
02/28/2018,50,64,44,0.0,10.74,0.0
03/01/2018,53,59,49,0.09,4.7,0.0
03/02/2018,47,54,39,0.01,29.97,0.0
03/03/2018,43,53,36,0.0,20.36,0.0
03/04/2018,43,53,35,0.0,16.11,0.0
03/05/2018,40,49,31,0.0,12.3,0.0
03/06/2018,40,46,33,0.3,7.16,0.0
03/07/2018,40,51,34,0.03,12.08,0.0
03/08/2018,40,46,34,0.0,11.18,0.0
03/09/2018,38,46,33,0.0,12.3,0.0
03/10/2018,39,49,31,0.0,7.83,0.0
03/11/2018,41,52,31,0.0,6.26,0.0
03/12/2018,40,46,34,0.01,12.75,0.0
03/13/2018,38,47,33,0.0,15.88,0.0
03/14/2018,38,44,32,0.0,16.78,0.0
03/15/2018,41,55,31,0.0,11.63,0.0
03/16/2018,41,47,34,0.0,12.75,0.0
03/17/2018,39,46,32,0.0,5.59,0.0
03/18/2018,44,59,34,0.0,6.71,0.0
03/19/2018,47,56,36,0.0,6.71,0.0
03/20/2018,40,43,32,0.87,14.99,0.0
03/21/2018,33,36,32,0.49,14.09,0.0
03/22/2018,39,49,34,0.0,15.66,2.0
03/23/2018,42,51,35,0.0,15.88,0.0
03/24/2018,42,52,33,0.0,7.38,0.0
03/25/2018,41,48,34,0.0,11.41,0.0
03/26/2018,42,50,34,0.0,8.5,0.0
03/27/2018,41,48,34,0.02,6.71,0.0
03/28/2018,47,58,43,0.1,4.7,0.0
03/29/2018,56,78,48,0.0,7.38,0.0
03/30/2018,66,77,45,0.0,16.11,0.0
03/31/2018,50,61,39,0.0,11.41,0.0
04/01/2018,55,67,50,0.0,8.95,0.0
