City,Stars,Class,Review_Source,Review_Date,Review_Text
NYC,5,Positive,Yelp,05/27/2018,"It's not perfect, but I see Citibike as basically an essential public service that makes NYC more livable.I joined last summer and I'm so glad I did -- I get exercise, save $ on commuting, and, most importantly, save time getting from place to place. Yes -- sometimes there are app issues, or not enough bikes or docks available, or you get a bike with a bum seat, etc. It can't be perfect 100% of the time. But it's pretty freaking great. It's enabled me to see neighborhoods of this city I otherwise wouldn't, all on my own steam, faster than any other method would have allowed. It's enabled me to get to/from work in 10 minutes rather than 45 on the slow-as-molasses city bus. Given how terrible public transportation in NYC is these days (both subways and buses), it's been a lifesaver. - need to expand stations into northern Manhattan- need to pressure city to add more PROTECTED bike lines -- everywhere"
NYC,1,Negative,Yelp,11/02/2018,"Beware when signing up for the annual membership! Bad customer service with inflexible policies!! Seriously question your decision to sign up...It's rare that I post about a business as I'm in the customer service field myself, but this one deserves the warning blast. I signed up for Citibike because I got a job in New York. Exciting! I immediately got an annual membership after I received the offer as I was super excited to bike around this city and enjoy the flexibility of the drop 'n go service that city bike offers with their plethora of bike stations. I reckoned that even if I didn't use the 50+ rides required to offset the annual membership, the flexibility would be worth it. Now I'm seriously questioning my purchase...Unfortunately, I found out that my company offered a discount using a corporate code (great perk!). I submitted a request to Citi's customer service center through their site and received a stock response of ""Members have 14 days or less to cancel and receive a refund for their membersips."" Yes, that's the exact response. I didn't want to cancel my membership. I just wanted to get the discount applied and I was 3 days over the 14 day period. So I let it sit for a bit. Que sera, right? Well, not in this case. For some reason, the response irked me every time I saw a bike station (again, there are a ton of them...) so I called into their help center. I politely asked for an exception to the policy and they informed me that the policy was actually 30 days but I was now over that period so there was nothing that ""the system would allow them to do."" Being a customer service advocate, I calmly explained that they should be able to do a manager override. They talked to their supervisor and came back with the same response. When I asked to speak with the supervisor to explain, they declined. I offered some feedback amounting to Citibike gladly forgoing the small amount of money to keep a customer satisfied and bolster their reputation as a friendly, flexible company. I mean, it's founded on the concept of flexbility, right?! Not so much.In that final conversation, I discovered that their customer service is a call center that manages many bike share programs with a variety of directives that limit their ability override their system. How ridiculous is that?! A customer service management system that prevents you from offering good customer service? Unacceptable. Perhaps one of their agents will deem this public post worthy enough of a reasonable response and they'll make an exception to this 14 day nonsense that doesn't directly apply to my request. Citibike needs to stop treating their customers like numbers and start offering the service that's expected."
NYC,1,Negative,Yelp,12/23/2018,This used to be a nice town. This use to be a town where if you like to walk you walk down the street in peace. This used to be a town where if you're driving you drive down the street in peace. It was quite harmonious for New Yorkers. Then the darkness came. The citibike. Once they sit their asses on these cursed machines they ride down the streets disregarding every rule and law on the book. They mow down people on the sidewalk screaming for everyone to get out of the way. Ever since these things came to be it has been hell as a driver and a pedestrian and even a bi
NYC,2,Negative,Yelp,04/23/2019,"I think Citibike is a wonderful service for the city, but it's customer service is:  wait for it .....unprofessional, reads from a script, cannot handle simple problems with simple solutions. It's Managing Director, whom I have spoken with twice is in the ball. His staff unfortunately is NOT.  I do nit write reviews, but Motivate, Citibike's operating company has a terrible with capital ""T"" customer service department. Two reps, SUMAYYA and KENDALL were passive aggressive, kept cutting off reception 4 x  phones. Please get your customer service reps name. Ask them to cure a simple issue. They hem and haw not to pass you thru to a Supervisor. This is a BLACK for Citibike. I seriously hope they clean up their act. It doesn't reflect well on the Bank. Having been a Bank president, when your customer service is shoddy, there is nothing you can say to the world to fix it up from a terrible phone presence. CITIBIKE get smart !!"
NYC,1,Negative,Yelp,03/12/2019,"Not happy to be charged extra for using the electric bikes, even when i pay for the annual membership! Should just be a waived if you already spend $100 plus for the annual membership! NYC already has such a large population, I'm sure citibike makes more than enough money from memberships and day-pass users."
NYC,1,Negative,Yelp,03/31/2019,"This program is a complete scam!  I signed up for Citi Bike yesterday and thus far have taken about four trips.  For my last trip, I docked the bike and even received a notification buzz in the app.  Then hours later, I received an email claiming my bike was still out.  I called immediately--the representative told me that she could put a temporary hold on the account while a technician went out to find the bike at the station.  And oh--if it's not found, a lost bike is $1200.  This ruined my entire weekend---within 24 hours of signing up, to possibly face a payment of $1200 because the bike didn't buzz in the system is beyond the pale.  I would NEVER recommend this program to anyone and in fact am waiting for tomorrow to call elected officials and consumer agencies about this ridiculous program!"
NYC,1,Negative,Yelp,11/03/2018,I have not used any citi bike since mid October which was my first and last time. I was charged the general single ride and the late fee which was taken out of my account and I was totally fine with that. Saw there was a charge for citibike in Brooklyn on November 3rd---- I live in Manhattan. Made a claims and received and absurdly rude response. Luckily my bank protects me from random charges like this
NYC,1,Negative,Yelp,04/02/2019,"Trap for tourists. Seemed like a good idea until I got charged over 160$ after I stopped using it even though I locked it up properly as directed. To top it off I sent a complaint to customer service and they never responded. Bikes are low quality too but hey, maybe you like to pedal harder than needed."
NYC,1,Negative,Yelp,09/18/2018,"BE WARNED. TOURIST SCAM. THIS COMPANY WILL FIND WAYS TO CHARGE YOU EXTRA FEES AND MAKE IT IMPOSSIBLE TO REFUND.I got charged $108 for a 20 minute bike ride, that was supposed to be $3. Because the bike was ""not properly docked"". I had rode The bikes several times and it was for sure locked. But the timer on my app kept running. If this happens to you CALL IMMEDIATELY and you might not get charged. I learned the hard way. Every time I rode the bikes, the timer was lagging on my phone, after I locked the bike, but I knew it would stop, because it always did.  So I thought nothing of it. And I knew the bike was locked because I had done it several times, and it beeped, and I could not pull the bike out. I thought, there's no way they can charge me because the bike is locked, and they must know that.Well a couple days, later I saw on my debit card a charge for $108. I thought, that sucks, but no problem, this will will be  be a quick phone call and refund. NOPE. 5 calls later, and a few emails to management and the best they could do was refund half the money. So they still basically stole $50 from me.I don't live in NYC, and I know another person who the same thing happened to. It must be very common and for a company to make more money off ""error charges"" then legitimate use of their service, that's not cool. They make it really easy to mess up, and they charge you, and then they blame you and say it's your fault.Don't get me wrong, the few times I used the bikes it was amazing, and super convenient, and super fun. But I feel that this is poor business practice. And they do not care about the satisfaction of their customers, because they are making so much money and have lost touch with the human to human interaction. I am happy to pay $50 for something. But paying $50 for nothing is not business. It's a scam."
NYC,1,Negative,Yelp,08/04/2018,"This company (Citi Bikes) is actively and knowingly engaging in deceptive practices and consumer fraud.I leased two bicycles for 24 hours at $12 per bicycle, totaling $24. I returned them after 1 hour and 26 minutes, yet I was being $26.13, plus another fee of $34.84, totaling $60.97.I contacted their customer service and they maintain they charges are valid, they did nothing wrong, and refuse to issue a full refund of the second charge. They say they charge an additional $4 per bicycle for every 15 minutes after the initial 30 minutes. Then what's the point of renting for a 24 hour period?I've filed a dispute with my card's bank, and will be filing complaints with government agencies.STAY AWAY!"
