City,Stars,Class,Review_Source,Review_Date,Review_Text
Chicago,5,Positive,TripAdvisor,04/15/2019,"Must do when in Chicago! We loved renting these bikes! It super simple, you dont even need to sign up for it. Use the bikes to ride up and down the lake, its fantastic."
Chicago,1,Negative,TripAdvisor,03/08/2019,"Dissapointed Very disappointed with Divvy Bikes and Brenda in their customer service department, rented two bikes during my trip to Chicago, returned both bikes when I was done, for X or Y reason one of them didn’t register in; now I gotta spend my time disputing a $140 charge for 18hrs of a bike I didn’t use. They can see in their system where I returned them and times, I think these bikes even have GPS. Would love to know if anyone else has gone thru a similar experience?"
Chicago,1,Negative,TripAdvisor,02/25/2019,"Dishonest company.. Terrible customer service Had one of the worst customer service experience with this company. After coordinating with the company via email and phone multiple times for over a month for issuing key, I am back to square 1. Learnt that either the form was not filled, or it got lost..How on the earth the form can get lost if you received 5 phone calls and 2 emails?on top of that you are not even accommodating and apologetic?SHAME"
Chicago,5,Positive,TripAdvisor,02/12/2019,"Practical, eco-friendly transportation Awesome to be able to use bikes throughout this beautiful city. This is a good way to get to know the city, go to its neighborhoods, exercise, commute and more.,"
Chicago,2,Negative,TripAdvisor,01/23/2019,Service has gone way down. Not reliable anymore. Ive been a member for a couple years now and I will not be renewing my membership. The system has consistently went down hill. It has become very unreliable. From stations not having any bikes to get or stations being full all around and nowhere to dock your bike. Then I have had issues with stations locking a bike in but turning red and then my key gets shut off and you have to call and they had to get someone out to get the bike before my key could be turned back on. Or the multiple times that stations just aren't working for some reason. It just isn't a reliable way to get around the city anymore.
Chicago,4,Positive,TripAdvisor,12/23/2018,Very very very convenient Bike sharing in Chicago is a good way to see Chicago as well as get from point A to point B. Divvy bikes makes that experience even better as they have a very simple and easy to use solution.
Chicago,1,Negative,TripAdvisor,11/12/2018,"Charged $150 dollars for a 30 minute ride I was charged $150 dollars for an incorrectly docked bike (that I infact returned). I recall bringing my bike back to the location that I got it from just outside of the United center and docking the bike. I was told by the help desk that despite that the other bike I had rented had been returned within the allotted timeframe, the other bike was not an therefore went undocked for 2 days resulting in a $150 charge. They do not have GPS on the bikes so therefore could not verify that it was in fact in the same exact location for that time. I will never use these bikes again and stick with the more reliably supported infrastructure of public transportation or Uber."
Chicago,1,Negative,TripAdvisor,10/29/2018,"Divvy system malfunction & I was charged for 40 hours of ride time The Divvy system does not accurately track bike docking. I used a 30 minute pass and docked the bike within that time period. It was my first time using the bike so I waited for the light to turn green showing it was docked. Fast forward a day and a half, I get an email letting me know that I am being charged for 40 HOURS of ride time ($140!). I called the customer service line to let them know there must be a mistake. Customer service was not understanding at all and would only refund 50% due to ""User Error"". I asked what else I should have done as a user to make sure the bike was docked and the representative told me to wait for the green light. When I explained that I did wait for the green light, the representative told me I was not correct because their system did not show a green light. Now I am out $70 through no fault of my own with no good faith full refund or credit from Divvy's customer service. As a first time user of this product, this is no way to build a customer base. Very disappointed in this company- would not recommend."
Chicago,4,Positive,TripAdvisor,10/08/2018,Way more fine than I thought. The machines are pain in the butt and you only have 5 minutes to put the codes in to get the bikes unlocked. You also cannot rent more than 4 per credit card. But the are nice bikes with convenient return sites. What a great way to explore Chicago and the Lake!
Chicago,5,Positive,TripAdvisor,09/24/2018,Very fun and convenient!  We had a great time with these bikes. You get some beautiful views. They are plenty of stations to park around downtown. This was our first time in the city and it was much cheaper than constant Ubering.
