"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2018-01-01","10.74",",,W","0.00",",,W,2400","0.0",",,W","1.2",",,W,2400","-2","H,,S","1",",,W","-9",",,W","  310",",,W","  310",",,W","17.0",",,W","23.0",",,W",,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2018-01-02","11.18",",,W","0.00",",,W,2400","0.0",",,W","1.2",",,W,2400","-2","H,,S","8",",,W","-9",",,W","  220",",,W","  230",",,W","21.9",",,W","30.0",",,W",,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2018-01-03","12.30",",,W","0.00","T,,W,2400","0.1",",,W","1.2",",,W,2400","11","H,,S","17",",,W","6",",,W","  330",",,W","  220",",,W","21.0",",,W","27.1",",,W","    1",",,W",,,,,,,,,,,"    1",",,W",,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2018-01-04","12.30",",,W","0.00",",,W,2400","0.0",",,W","1.2",",,W,2400","7","H,,S","12",",,W","0",",,W","  330",",,W","  330",",,W","19.9",",,W","23.9",",,W",,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2018-01-05","10.74",",,W","0.00",",,W,2400","0.0",",,W","1.2",",,W,2400","5","H,,S","11",",,W","-1",",,W","  320",",,W","  330",",,W","19.9",",,W","23.0",",,W",,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2018-01-06","6.49",",,W","0.00",",,W,2400","0.0",",,W","1.2",",,W,2400","5","H,,S","17",",,W","-2",",,W","  200",",,W","  170",",,W","14.1",",,W","17.0",",,W",,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2018-01-07","14.99",",,W","0.03",",,W,2400","0.0","T,,W","1.0",",,Z,2400","17","H,,S","33",",,W","8",",,W","  210",",,W","  210",",,W","23.9",",,W","32.0",",,W","    1",",,W",,,,,"    1",",,W",,,"    1",",,W",,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2018-01-08","11.86",",,W","0.00","T,,W,2400","0.0",",,W","1.2",",,W,2400","34","H,,S","37",",,W","31",",,W","  250",",,W","  250",",,W","18.1",",,W","23.9",",,W","    1",",,W",,,,,,,,,,,"    1",",,W",,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2018-01-09","6.04",",,W","0.00",",,W,2400","0.0",",,W","0.0",",,W,2400","31","H,,S","36",",,W","26",",,W","  160",",,W","  170",",,W","14.1",",,W","18.1",",,W","    1",",,W",,,,,,,,,,,"    1",",,W",,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2018-01-10","15.88",",,W","0.01",",,W,2400","0.0",",,W","0.0",",,W,2400","37","H,,S","56",",,W","30",",,W","  210",",,W","  210",",,W","31.1",",,W","42.1",",,W","    1",",,W",,,,,,,,,"    1",",,W",,,,
