STATION,NAME,DATE,AWND,DAPR,EVAP,MDPR,MNPN,MXPN,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,WDF2,WDF5,WDMV,WESD,WESF,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT11
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",1/1/2018,11.63,,,,,,,0,0,0,19,26,13,,320,330,,,,23.9,31.1,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",1/2/2018,7.83,,,,,,,0,0,0,18,26,13,,260,320,,,,15,19.9,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",1/3/2018,3.8,,,,,,,0,0,0,23,35,13,,50,30,,,,12.1,13,1,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",1/4/2018,19.91,,,,,,,0.1,0.8,1.2,26,27,16,,320,310,,,,35.1,49,1,,,,,,,1,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",1/5/2018,15.66,,,,,,,0,0,1.2,17,21,13,,310,320,,,,30,38.9,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",1/6/2018,13.42,,,,,,,0,0,0,15,21,11,,270,260,,,,25.9,34,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",1/7/2018,8.95,,,,,,,0,0,0,15,23,8,,190,320,,,,15,21,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",1/8/2018,8.5,,,,,,,0.06,0,0,25,39,19,,200,200,,,,16.1,19.9,,,,1,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",1/9/2018,5.37,,,,,,,0,0,0,38,51,30,,350,340,,,,14.1,18.1,1,1,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",1/10/2018,3.36,,,,,,,0,0,0,36,43,27,,40,40,,,,8.9,8.9,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",1/11/2018,4.47,,,,,,,0,0,0,46,62,38,,170,170,,,,13,17,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",1/12/2018,12.08,,,,,,,0.37,0,0,60,64,57,,170,170,,,,23,31.1,1,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",1/13/2018,19.69,,,,,,,0.11,0,0,45,62,21,,300,300,,,,36,48.1,1,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",1/14/2018,12.97,,,,,,,0,0,0,23,28,17,,320,320,,,,23.9,28,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",1/15/2018,6.93,,,,,,,0,0,0,24,32,18,,20,20,,,,13,16.1,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",1/16/2018,3.8,,,,,,,0,0,0,33,43,30,,330,330,,,,14.1,16.1,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",1/17/2018,15.88,,,,,,,0.03,0.4,0,30,37,20,,340,340,,,,23.9,31.1,1,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",1/18/2018,8.95,,,,,,,0,0,0,29,47,19,,310,330,,,,19.9,29.1,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",1/19/2018,6.04,,,,,,,0,0,0,38,51,25,,170,180,,,,14.1,17,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",1/20/2018,6.26,,,,,,,0,0,0,40,63,28,,230,250,,,,15,19,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",1/21/2018,4.92,,,,,,,0,0,0,44,61,32,,180,190,,,,13,14.1,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",1/22/2018,8.05,,,,,,,0,0,0,54,65,47,,170,170,,,,15,18.1,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",1/23/2018,11.86,,,,,,,0.11,0,0,57,68,47,,320,330,,,,28,35.1,1,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",1/24/2018,12.97,,,,,,,0,0,0,46,48,35,,330,330,,,,23.9,31.1,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",1/25/2018,10.07,,,,,,,0,0,0,37,42,31,,330,330,,,,23.9,30,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",1/26/2018,5.14,,,,,,,0,0,0,37,50,28,,190,200,,,,13,16.1,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",1/27/2018,12.97,,,,,,,0,0,0,47,63,38,,190,210,,,,23,29.1,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",1/28/2018,6.93,,,,,,,0.16,0,0,52,57,47,,200,200,,,,18.1,21.9,1,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",1/29/2018,10.74,,,,,,,0,0,0,47,48,41,,60,70,,,,21,25.1,1,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",1/30/2018,16.78,,,,,,,0,0,0,37,41,24,,310,320,,,,31.1,40.9,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",1/31/2018,10.74,,,,,,,0,0,0,27,41,21,,200,330,,,,19.9,25.1,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2/1/2018,10.29,,,,,,,0.02,0,0,43,54,40,,340,320,,,,23.9,32,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2/2/2018,15.21,,,,,,,0.04,0,0,37,43,19,,290,290,,,,30,38.9,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2/3/2018,10.51,,,,,,,0,0,0,24,36,17,,220,230,,,,18.1,23.9,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2/4/2018,7.83,,,,,,,1.12,0,0,34,37,33,,190,180,,,,17,23,1,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2/5/2018,9.84,,,,,,,0,0,0,35,39,27,,320,320,,,,28,35.1,1,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2/6/2018,5.82,,,,,,,0,0,0,33,43,28,,340,330,,,,14.1,17,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2/7/2018,6.93,,,,,,,0.49,0,0,35,43,33,,340,320,,,,21.9,29.1,1,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2/8/2018,10.51,,,,,,,0,0,0,34,38,26,,330,340,,,,28,35.1,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2/9/2018,6.04,,,,,,,0,0,0,35,46,27,,170,160,,,,14.1,16.1,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2/10/2018,4.92,,,,,,,1.06,0,0,43,50,39,,200,210,,,,12.1,16.1,1,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2/11/2018,6.93,,,,,,,1.05,0,0,53,68,45,,220,210,,,,25.9,35.1,1,1,1,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2/12/2018,12.75,,,,,,,0.09,0,0,53,65,37,,350,330,,,,25.1,30,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2/13/2018,8.5,,,,,,,0,0,0,38,43,33,,10,10,,,,16.1,19.9,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2/14/2018,7.16,,,,,,,0.03,0,0,40,53,34,,170,180,,,,17,19.9,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2/15/2018,10.51,,,,,,,0.01,0,0,55,74,47,,210,210,,,,21.9,28,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2/16/2018,12.53,,,,,,,0.05,0,0,62,67,40,,320,320,,,,28,36.9,1,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2/17/2018,8.28,,,,,,,0.42,0.2,0,39,44,34,,360,330,,,,16.1,21.9,1,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2/18/2018,6.26,,,,,,,0,0,0,40,51,33,,320,330,,,,16.1,21,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2/19/2018,7.61,,,,,,,0.02,0,0,42,50,40,,180,200,,,,14.1,18.1,1,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2/20/2018,12.3,,,,,,,0,0,0,58,78,49,,200,200,,,,25.1,32,1,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2/21/2018,12.75,,,,,,,0,0,0,67,82,56,,210,240,,,,23.9,30,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2/22/2018,12.3,,,,,,,0.06,0,0,60,67,43,,60,60,,,,23,25.9,1,,,,,,1,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2/23/2018,5.82,,,,,,,0,0,0,44,48,41,,80,70,,,,15,17,1,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2/24/2018,6.26,,,,,,,0.16,0,0,50,53,48,,60,40,,,,16.1,18.1,1,1,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2/25/2018,4.03,,,,,,,0.17,0,0,50,54,47,,300,300,,,,15,19,1,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2/26/2018,6.71,,,,,,,0,0,0,51,53,41,,340,320,,,,17,21.9,1,1,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2/27/2018,6.49,,,,,,,0,0,0,47,58,36,,180,180,,,,15,18.1,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2/28/2018,10.74,,,,,,,0,0,0,50,64,44,,170,190,,,,17,21,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",3/1/2018,4.7,,,,,,,0.09,0,0,53,59,49,,110,130,,,,13,15,1,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",3/2/2018,29.97,,,,,,,0.01,0,0,47,54,39,,320,300,,,,47,62,1,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",3/3/2018,20.36,,,,,,,0,0,0,43,53,36,,330,330,,,,33.1,44.1,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",3/4/2018,16.11,,,,,,,0,0,0,43,53,35,,330,340,,,,25.9,31.1,,,,,,,,,
