DATE,TAVG,TMAX,TMIN,PRCP,AWND,SNWD
01/01/2018,13,19,8,0.0,17.0,0.0
01/02/2018,18,26,14,0.0,13.87,0.0
01/03/2018,23,30,17,0.0,6.93,0.0
01/04/2018,26,29,20,0.51,24.83,1.2
01/05/2018,17,20,10,0.0,24.83,7.1
01/06/2018,12,15,8,0.0,21.7,7.1
01/07/2018,11,18,6,0.0,11.41,7.1
01/08/2018,22,33,18,0.0,11.41,7.1
01/09/2018,35,43,30,0.0,12.3,3.9
01/10/2018,34,40,26,0.0,6.04,3.1
01/11/2018,40,47,35,0.0,5.14,2.0
01/12/2018,48,60,37,0.69,11.41,0.0
01/13/2018,42,53,20,0.11,19.01,0.0
01/14/2018,20,24,15,0.0,14.32,0.0
01/15/2018,22,30,16,0.0,13.2,0.0
01/16/2018,28,34,24,0.0,7.61,0.0
01/17/2018,34,36,23,0.17,10.74,0.0
01/18/2018,26,33,20,0.0,14.09,0.0
01/19/2018,31,40,26,0.0,10.29,0.0
01/20/2018,43,54,37,0.0,12.75,0.0
01/21/2018,46,52,42,0.0,4.92,0.0
01/22/2018,42,45,36,0.0,9.84,0.0
01/23/2018,45,60,36,0.31,11.41,0.0
01/24/2018,43,45,28,0.0,17.0,0.0
01/25/2018,29,35,24,0.0,14.76,0.0
01/26/2018,32,39,28,0.0,6.71,0.0
01/27/2018,42,57,35,0.0,9.17,0.0
01/28/2018,50,54,42,0.27,6.49,0.0
01/29/2018,43,44,34,0.0,12.97,0.0
01/30/2018,34,37,26,0.06,14.09,1.2
01/31/2018,26,34,19,0.0,12.53,0.0
02/01/2018,37,45,33,0.05,7.83,0.0
02/02/2018,33,39,18,0.18,20.36,0.0
02/03/2018,22,32,17,0.0,12.97,0.0
02/04/2018,35,47,31,1.01,8.28,0.0
02/05/2018,37,41,28,0.0,13.87,0.0
02/06/2018,32,38,28,0.0,6.93,0.0
02/07/2018,33,47,30,0.85,12.75,0.0
02/08/2018,33,34,26,0.0,13.2,0.0
02/09/2018,31,39,28,0.0,9.4,0.0
02/10/2018,42,51,38,0.53,4.7,0.0
02/11/2018,46,60,42,1.28,6.26,0.0
02/12/2018,48,63,34,0.0,14.99,0.0
02/13/2018,33,38,27,0.0,9.4,0.0
02/14/2018,40,54,36,0.1,8.05,0.0
02/15/2018,51,61,47,0.14,7.83,0.0
02/16/2018,56,59,37,0.11,13.65,0.0
02/17/2018,36,39,30,0.6,9.62,0.0
02/18/2018,38,45,33,0.02,9.4,3.1
02/19/2018,42,49,33,0.03,6.71,0.0
02/20/2018,54,70,47,0.0,8.28,0.0
02/21/2018,62,79,50,0.02,10.29,0.0
02/22/2018,51,58,37,0.11,12.08,0.0
02/23/2018,38,44,36,0.07,9.62,0.0
02/24/2018,47,54,43,0.07,8.05,0.0
02/25/2018,42,45,40,0.77,9.62,0.0
02/26/2018,46,52,44,0.0,9.17,0.0
02/27/2018,47,57,40,0.0,8.72,0.0
02/28/2018,49,62,42,0.0,9.84,0.0
03/01/2018,54,59,43,0.42,8.28,0.0
03/02/2018,42,44,36,1.76,25.05,0.0
03/03/2018,41,47,38,0.0,22.59,0.0
03/04/2018,42,44,35,0.0,19.01,0.0
03/05/2018,38,42,35,0.0,15.88,0.0
03/06/2018,40,47,34,0.0,9.4,0.0
03/07/2018,37,39,34,0.9,18.79,0.0
03/08/2018,37,42,34,0.0,12.75,1.2
03/09/2018,37,44,31,0.0,17.45,0.0
03/10/2018,37,41,33,0.0,15.21,0.0
03/11/2018,39,46,34,0.0,10.51,0.0
03/12/2018,38,43,33,0.04,13.2,0.0
03/13/2018,37,42,34,0.22,16.78,0.0
03/14/2018,37,42,32,0.0,19.24,0.0
03/15/2018,39,48,34,0.0,16.55,0.0
03/16/2018,38,40,32,0.0,20.36,0.0
03/17/2018,36,48,29,0.0,15.21,0.0
03/18/2018,37,44,30,0.0,11.41,0.0
03/19/2018,40,47,34,0.0,8.72,0.0
03/20/2018,36,39,31,0.0,12.97,0.0
03/21/2018,36,40,32,0.63,17.0,0.0
03/22/2018,40,51,33,0.01,16.33,7.9
03/23/2018,43,50,37,0.0,12.3,0.0
03/24/2018,43,51,37,0.0,11.18,0.0
03/25/2018,40,44,35,0.0,12.08,0.0
03/26/2018,40,50,34,0.0,9.84,0.0
03/27/2018,39,45,35,0.01,6.71,0.0
03/28/2018,44,52,39,0.03,6.04,0.0
03/29/2018,50,53,46,0.02,6.71,0.0
03/30/2018,50,60,43,0.04,10.51,0.0
03/31/2018,47,57,40,0.0,11.18,0.0
04/01/2018,50,59,43,0.0,11.63,0.0
04/02/2018,40,43,32,0.55,8.5,3.9
04/03/2018,41,44,39,0.27,9.17,1.2
04/04/2018,46,57,41,0.12,14.76,0.0
04/05/2018,42,46,35,0.0,18.12,0.0
04/06/2018,45,62,37,0.09,11.18,0.0
04/07/2018,46,49,38,0.0,12.75,0.0
04/08/2018,39,45,33,0.0,15.66,0.0
04/09/2018,39,49,33,0.0,10.51,0.0
04/10/2018,43,50,40,0.0,9.62,0.0
04/11/2018,44,52,38,0.0,7.38,0.0
04/12/2018,51,60,46,0.0,9.84,0.0
04/13/2018,65,82,59,0.0,12.3,0.0
04/14/2018,62,69,45,0.0,12.75,0.0
04/15/2018,44,46,39,0.36,21.7,0.0
04/16/2018,47,61,40,2.5,20.13,0.0
04/17/2018,46,47,40,0.0,15.21,0.0
04/18/2018,45,55,39,0.0,12.08,0.0
04/19/2018,46,48,40,0.15,14.09,0.0
04/20/2018,43,50,38,0.0,16.78,0.0
04/21/2018,49,62,41,0.0,12.08,0.0
04/22/2018,55,65,46,0.0,8.5,0.0
04/23/2018,53,65,45,0.0,8.05,0.0
04/24/2018,55,66,46,0.03,10.07,0.0
04/25/2018,56,61,50,0.51,10.96,0.0
04/26/2018,60,70,53,0.17,12.08,0.0
04/27/2018,54,57,49,0.05,8.05,0.0
04/28/2018,57,66,51,0.07,8.5,0.0
04/29/2018,54,58,48,0.15,14.54,0.0
04/30/2018,49,52,44,0.0,15.21,0.0
05/01/2018,60,82,50,0.0,9.17,0.0
05/02/2018,77,90,65,0.0,12.75,0.0
05/03/2018,82,93,70,0.01,10.51,0.0
05/04/2018,76,84,68,0.0,9.17,0.0
05/05/2018,70,76,61,0.0,11.18,0.0
05/06/2018,63,68,54,0.0,8.05,0.0
05/07/2018,62,75,56,0.0,6.71,0.0
05/08/2018,62,72,54,0.0,6.49,0.0
05/09/2018,63,74,54,0.0,6.26,0.0
05/10/2018,59,66,56,0.19,6.71,0.0
05/11/2018,65,73,60,0.0,10.51,0.0
05/12/2018,59,64,53,0.2,8.5,0.0
05/13/2018,54,56,52,0.08,7.38,0.0
05/14/2018,58,71,52,0.02,6.26,0.0
05/15/2018,69,92,60,0.44,9.17,0.0
05/16/2018,63,65,55,0.42,8.72,0.0
05/17/2018,60,73,55,0.24,5.37,0.0
05/18/2018,65,67,56,0.0,12.53,0.0
05/19/2018,54,56,50,0.64,10.29,0.0
05/20/2018,67,84,55,0.0,9.62,0.0
05/21/2018,69,79,60,0.0,7.61,0.0
05/22/2018,65,70,56,0.21,5.37,0.0
05/23/2018,66,82,57,0.21,7.16,0.0
05/24/2018,74,86,66,0.0,8.5,0.0
05/25/2018,78,89,68,0.0,11.86,0.0
05/26/2018,82,92,75,0.0,8.28,0.0
05/27/2018,69,82,56,0.53,15.43,0.0
05/28/2018,60,70,56,0.0,8.05,0.0
05/29/2018,73,87,63,0.0,6.49,0.0
05/30/2018,69,77,60,0.0,8.95,0.0
05/31/2018,64,70,62,0.05,7.83,0.0
06/01/2018,69,82,63,0.05,6.49,0.0
06/02/2018,78,87,67,0.01,9.17,0.0
06/03/2018,66,67,53,0.3,12.97,0.0
06/04/2018,59,72,52,0.35,9.84,0.0
06/05/2018,68,77,59,0.0,9.4,0.0
06/06/2018,65,71,60,0.0,7.83,0.0
06/07/2018,64,71,61,0.0,9.62,0.0
06/08/2018,70,83,62,0.0,7.38,0.0
06/09/2018,76,81,69,0.0,7.61,0.0
06/10/2018,70,73,61,0.01,5.82,0.0
06/11/2018,65,73,60,0.0,8.72,0.0
06/12/2018,66,75,60,0.0,10.07,0.0
06/13/2018,69,81,65,0.03,8.95,0.0
06/14/2018,78,86,70,0.0,15.21,0.0
06/15/2018,72,77,65,0.0,10.07,0.0
06/16/2018,75,86,67,0.0,6.04,0.0
06/17/2018,79,91,67,0.0,6.71,0.0
06/18/2018,82,92,74,0.05,12.08,0.0
06/19/2018,83,89,76,0.05,10.51,0.0
06/20/2018,76,84,69,0.01,7.61,0.0
06/21/2018,75,86,66,1.08,6.93,0.0
06/22/2018,72,75,64,0.1,11.18,0.0
06/23/2018,65,67,62,0.0,10.51,0.0
06/24/2018,72,88,65,0.01,8.5,0.0
06/25/2018,76,82,68,0.0,10.96,0.0
06/26/2018,72,77,64,0.0,11.41,0.0
06/27/2018,71,75,68,0.07,12.53,0.0
06/28/2018,75,87,71,1.48,9.4,0.0
06/29/2018,81,92,72,0.0,9.17,0.0
06/30/2018,85,96,73,0.0,6.04,0.0
07/01/2018,88,97,79,0.0,5.82,0.0
07/02/2018,87,95,77,0.0,9.17,0.0
07/03/2018,83,91,79,0.01,7.38,0.0
07/04/2018,82,90,78,0.0,7.83,0.0
07/05/2018,83,90,78,0.0,10.96,0.0
07/06/2018,81,83,70,0.09,12.53,0.0
07/07/2018,72,78,64,0.0,11.41,0.0
07/08/2018,73,84,67,0.0,6.26,0.0
07/09/2018,78,90,69,0.0,8.28,0.0
07/10/2018,83,97,74,0.0,6.93,0.0
07/11/2018,82,87,76,0.0,9.84,0.0
07/12/2018,77,85,67,0.59,8.28,0.0
07/13/2018,78,86,71,0.0,8.05,0.0
07/14/2018,80,91,72,0.33,9.84,0.0
07/15/2018,79,87,71,0.7,6.71,0.0
07/16/2018,84,93,77,0.0,8.28,0.0
07/17/2018,82,89,72,1.6,10.29,0.0
07/18/2018,77,85,71,0.0,10.96,0.0
07/19/2018,76,83,68,0.0,8.95,0.0
07/20/2018,76,84,70,0.0,8.72,0.0
07/21/2018,74,79,67,0.43,14.32,0.0
07/22/2018,76,84,72,0.6,17.0,0.0
07/23/2018,80,86,75,0.11,15.21,0.0
07/24/2018,81,87,77,0.0,16.55,0.0
07/25/2018,78,81,74,0.76,14.32,0.0
07/26/2018,79,89,74,0.0,7.61,0.0
07/27/2018,83,90,73,0.06,8.05,0.0
07/28/2018,78,89,72,0.0,6.71,0.0
07/29/2018,79,84,73,0.0,7.83,0.0
07/30/2018,78,82,73,0.0,6.71,0.0
07/31/2018,76,83,71,0.0,7.83,0.0
08/01/2018,80,93,75,0.04,11.63,0.0
08/02/2018,84,92,78,0.21,8.28,0.0
08/03/2018,81,87,76,0.19,9.17,0.0
08/04/2018,80,89,74,1.34,7.61,0.0
08/05/2018,85,94,77,0.0,4.47,0.0
08/06/2018,87,95,81,0.0,6.49,0.0
08/07/2018,86,92,76,0.0,9.62,0.0
08/08/2018,83,93,77,0.0,6.71,0.0
08/09/2018,84,90,75,0.57,9.62,0.0
08/10/2018,83,91,76,0.0,6.26,0.0
08/11/2018,77,83,71,1.95,7.61,0.0
08/12/2018,77,84,73,0.0,9.62,0.0
08/13/2018,75,75,72,0.61,11.86,0.0
08/14/2018,76,87,72,0.58,7.83,0.0
08/15/2018,79,91,73,0.0,11.18,0.0
08/16/2018,85,93,79,0.0,8.28,0.0
08/17/2018,86,91,74,0.61,10.51,0.0
08/18/2018,81,90,72,0.06,8.95,0.0
08/19/2018,73,75,70,0.13,12.75,0.0
08/20/2018,72,77,68,0.0,9.62,0.0
08/21/2018,73,81,68,0.07,8.72,0.0
08/22/2018,78,87,73,0.28,12.53,0.0
08/23/2018,74,80,68,0.0,11.41,0.0
08/24/2018,77,85,70,0.0,8.05,0.0
08/25/2018,76,81,71,0.0,6.93,0.0
08/26/2018,77,85,71,0.0,9.17,0.0
08/27/2018,83,91,77,0.0,6.71,0.0
08/28/2018,89,98,81,0.0,9.17,0.0
08/29/2018,91,97,84,0.0,10.07,0.0
08/30/2018,87,91,79,0.0,10.51,0.0
08/31/2018,78,79,72,0.02,12.3,0.0
09/01/2018,74,79,70,0.0,9.4,0.0
09/02/2018,76,82,70,0.0,6.93,0.0
09/03/2018,82,93,77,0.0,6.93,0.0
09/04/2018,86,93,80,0.0,7.38,0.0
09/05/2018,85,91,79,0.0,8.28,0.0
09/06/2018,85,96,76,0.22,8.05,0.0
09/07/2018,76,77,71,0.0,11.18,0.0
09/08/2018,70,73,63,0.01,11.63,0.0
09/09/2018,63,66,59,0.28,15.21,0.0
09/10/2018,62,67,57,0.94,15.88,0.0
09/11/2018,68,75,64,0.03,5.59,0.0
09/12/2018,74,78,72,0.12,7.61,0.0
09/13/2018,73,77,70,0.14,11.41,0.0
09/14/2018,73,77,70,0.0,10.74,0.0
09/15/2018,74,82,69,0.0,6.04,0.0
09/16/2018,76,86,70,0.0,4.92,0.0
09/17/2018,75,80,71,0.04,8.5,0.0
09/18/2018,77,83,72,1.99,8.72,0.0
09/19/2018,76,82,69,0.0,7.61,0.0
09/20/2018,69,73,66,0.0,9.17,0.0
09/21/2018,71,74,68,0.0,12.53,0.0
09/22/2018,73,76,64,0.0,11.41,0.0
09/23/2018,65,68,62,0.0,8.28,0.0
09/24/2018,65,72,60,0.0,14.99,0.0
09/25/2018,66,78,60,1.13,13.65,0.0
09/26/2018,76,83,72,0.15,9.4,0.0
09/27/2018,70,75,63,0.01,11.41,0.0
09/28/2018,63,66,58,0.83,8.95,0.0
09/29/2018,66,75,59,0.0,6.71,0.0
09/30/2018,65,73,58,0.0,7.16,0.0
10/01/2018,70,78,65,0.0,6.93,0.0
10/02/2018,73,79,67,0.56,9.62,0.0
10/03/2018,71,77,66,0.0,8.05,0.0
10/04/2018,70,79,64,0.04,5.59,0.0
10/05/2018,69,73,61,0.0,9.62,0.0
10/06/2018,66,70,64,0.0,8.05,0.0
10/07/2018,73,82,70,0.0,5.14,0.0
10/08/2018,70,73,65,0.0,10.07,0.0
10/09/2018,71,78,67,0.0,7.38,0.0
10/10/2018,75,82,71,0.0,7.83,0.0
10/11/2018,74,80,71,0.63,8.05,0.0
10/12/2018,65,72,54,0.52,17.22,0.0
10/13/2018,54,59,49,0.05,10.51,0.0
10/14/2018,55,60,51,0.0,6.71,0.0
10/15/2018,60,70,55,0.04,10.96,0.0
10/16/2018,58,62,49,0.02,12.97,0.0
10/17/2018,56,64,48,0.0,16.11,0.0
10/18/2018,49,53,44,0.0,14.76,0.0
10/19/2018,52,63,45,0.0,10.96,0.0
10/20/2018,59,65,54,0.07,11.63,0.0
10/21/2018,51,54,43,0.0,18.34,0.0
