User_Name,User_Location,Stars,Entry_Date,Entry_Quote,Entry_Content
pathopa,"London, United Kingdom",5,04/15/2019,Must do when in Chicago!,"We loved renting these bikes! It super simple, you dont even need to sign up for it. Use the bikes to ride up and down the lake, its fantastic."
Manchoduque,,1,03/08/2019,Dissapointed,"Very disappointed with Divvy Bikes and Brenda in their customer service department, rented two bikes during my trip to Chicago, returned both bikes when I was done, for X or Y reason one of them didn’t register in; now I gotta spend my time disputing a $140 charge for 18hrs of a bike I didn’t use. They can see in their system where I returned them and times, I think these bikes even have GPS. Would love to know if anyone else has gone thru a similar experience?"
pjain1906,,1,02/25/2019,Dishonest company.. Terrible customer service,"Had one of the worst customer service experience with this company. After coordinating with the company via email and phone multiple times for over a month for issuing key, I am back to square 1. Learnt that either the form was not filled, or it got lost..How on the earth the form can get lost if you received 5 phone calls and 2 emails?on top of that you are not even accommodating and apologetic?SHAME"
rjatrix2018,"Chicago, Illinois",5,02/12/2019,"Practical, eco-friendly transportation","Awesome to be able to use bikes throughout this beautiful city. This is a good way to get to know the city, go to its neighborhoods, exercise, commute and more.,"
Carson S,,2,01/23/2019,Service has gone way down. Not reliable anymore.,Ive been a member for a couple years now and I will not be renewing my membership. The system has consistently went down hill. It has become very unreliable. From stations not having any bikes to get or stations being full all around and nowhere to dock your bike. Then I have had issues with stations locking a bike in but turning red and then my key gets shut off and you have to call and they had to get someone out to get the bike before my key could be turned back on. Or the multiple times that stations just aren't working for some reason. It just isn't a reliable way to get around the city anymore.
Raoul P,Kuwait,4,12/23/2018,Very very very convenient,Bike sharing in Chicago is a good way to see Chicago as well as get from point A to point B. Divvy bikes makes that experience even better as they have a very simple and easy to use solution.
Jordan M,,1,11/12/2018,Charged $150 dollars for a 30 minute ride,"I was charged $150 dollars for an incorrectly docked bike (that I infact returned). I recall bringing my bike back to the location that I got it from just outside of the United center and docking the bike. I was told by the help desk that despite that the other bike I had rented had been returned within the allotted timeframe, the other bike was not an therefore went undocked for 2 days resulting in a $150 charge. They do not have GPS on the bikes so therefore could not verify that it was in fact in the same exact location for that time. I will never use these bikes again and stick with the more reliably supported infrastructure of public transportation or Uber."
AS20180,"Chicago, Illinois",1,10/29/2018,Divvy system malfunction & I was charged for 40 hours of ride time,"The Divvy system does not accurately track bike docking. I used a 30 minute pass and docked the bike within that time period. It was my first time using the bike so I waited for the light to turn green showing it was docked. Fast forward a day and a half, I get an email letting me know that I am being charged for 40 HOURS of ride time ($140!). I called the customer service line to let them know there must be a mistake. Customer service was not understanding at all and would only refund 50% due to ""User Error"". I asked what else I should have done as a user to make sure the bike was docked and the representative told me to wait for the green light. When I explained that I did wait for the green light, the representative told me I was not correct because their system did not show a green light. Now I am out $70 through no fault of my own with no good faith full refund or credit from Divvy's customer service. As a first time user of this product, this is no way to build a customer base. Very disappointed in this company- would not recommend."
214natalieb,"Sandwich, Illinois",4,10/08/2018,Way more fine than I thought.,The machines are pain in the butt and you only have 5 minutes to put the codes in to get the bikes unlocked. You also cannot rent more than 4 per credit card. But the are nice bikes with convenient return sites. What a great way to explore Chicago and the Lake!
jenniferbenitez,"Siloam Springs, Arkansas",5,09/24/2018,Very fun and convenient! ,We had a great time with these bikes. You get some beautiful views. They are plenty of stations to park around downtown. This was our first time in the city and it was much cheaper than constant Ubering.
LydiaBrasil,"Sao Paulo, SP",1,09/16/2018,Only for americans! What a disapointment!,Divvy Bikes is a service only for american people. They don’t accept non US credit cards nor give an alternative. They simply ignore the foreign turists. What a disapointment!
Hasti S,,3,09/12/2018,Not bad but still needs work,"So I got my first Divvy bike with a 30 mins pass to get to university. The bike was not bad I just had to adjust the height of the seat. Some people said that the bikes are heavy and it is hard to ride them. Well they are not entirely wrong. The bike was heavier than usual and it only had 3 gears so you could not go very fast with it, but I cannot say that it was very hard to ride, it was ok.I got my pass via the Divvy mobile app. You can download it from app store and google play. I am going to be honest with you, the app officially sucks! After refreshing and reseting multiple times I was able to get to the page that gives the pass. After paying the fee the app gives you a code that you enter on the keyboard next to your chosen bike and the dock releases it for you. Then a timer appears on the app that counts your riding time. You can also buy passes at the station but I should warn you that they do only accept credit cards (no debit cards or gift cards).There is a map on the app that shows you where is each station and how many bikes and empty docks it has. When you wanna get a bike you touch the plan a ride button on the app. Since it is 3$ for only 30 minutes you have to be careful and plan your ride ahead and make sure there are empty docks at your destination. When you wanna return the bike you just have to take it to an empty dock and push the bike forward until the dock grabs it. Then a green light appears that means the bike is successfully attached. Be careful if you do not put back the bike correctly you could be charged for a very long time. To make sure, you can refresh the app and the timer on top of it disappears. To sum up, I think that this is a good service that still needs work, but if you are looking for a healthy and cheap way to get around I definitely recommend it."
Robert S,"Hyde Park, Vermont",3,09/11/2018,"A good idea, with some minor issues","While in town visiting for the weekend, we rented two bikes so that we could ride with our hosts. There are many locations, in popular spots, so pretty convenient for us. One can rent with just a credit card, or by using the app, while creating an account, which is easy.The first rental went fine, although checking the bikes in was questionable, as the kiosk was offline when we went to rent again. While on hold to report the issue, a technician arrived and rebooted the kiosk. We were then able to take bikes out. The bikes are comfortable, and very sturdy (also heavy), but with three speeds they were fine for the bike path near Lake Shore Drive. Overall a pretty good service."
CordeliaGray,"Portland, Oregon",4,09/06/2018,Great experience,"We paid for a day use and then rode along the lake in the morning. We had some other plans for the afternoon, but came back and rode down the lake that evening because we had enjoyed it so much. It was really a ton of fun. There are plenty of stations to pick up and return bikes. Price was good. Only complaint was that the bikes needed a bit of work."
ratsoc5150,,3,08/31/2018,"Great idea, needs fine tuning","I want to really like this service. The idea is fantastic and I'm sure the teams involved worked very hard to implement this. Let me start by saying that the bike I rode was smooth, the experience of riding in Chicago was both exhilarating and satisfying. I highly recommend giving it a try and I hope they remain in service for a long time to come. Today was the first day that I attempted to buy a pass and ride a bike. I bought my pass using the app, located the nearest dock, followed the process of keying in the code to unlock the bike, the lights first turned orange and then green. I put my hand on the handle bar to pull it off the dock and it stayed put. No matter what I tried I could not take the bike off the dock. I realized that the bike never unlocked for whatever be the reason. I looked the FAQs in the app, there is nothing there about troubleshooting unlocking a bike (code correct but dock didn't disengage lock) I called their call center and was on hold for 10 minutes, in the end I did not get to speak with anyone. The app displays the unlock code only once, I could not use the code to unlock a different bike. You are made to provide your phone number and email address however the code is neither emailed to you nor texted. Neither could I purchase another pass. It was all very frustrating, the app just displayed the time elapsed, calories, start point end point. I headed to the kiosk and purchased another pass with the intention of appealing for a refund at a later time. With the new code in hand I successfully unlocked a bike and tried to key in my destination in the Divvy app in order to point to the closest dock to my destination. Lo and behold there was a button at the bottom of the map ""Unlock Bike"" I don't know whether I'll be able to use the loaded pass for my return trip but I will try and see. I wont need a refund if it works. There needs to be better instruction, troubleshooting, the user experience of the app definitely needs a little more thought and improvement. Will I rent another Divvy? Absolutely and so should you!"
Gabriela D,,4,08/27/2018,Divvy is a wonderful resource in Chicago,"Divvy is a wonderful resource in Chicago, not only for tourists but also for residents who use this system as a way to go to work and to transit the city in an eco-friendly manner. As a resident, I seem to remember that you now can use it each time for 45 minutes (instead of the traditional 30 minutes per ride). Is that true? I do not want to assume that and incur in non-desired extra charges."
Heather_B_4074,"Leesburg, Indiana",5,08/25/2018,Best way to see the city,"We stayed for a night in the city for my bday. We biked everywhere super convenient and lots of fun. Reasonably priced and the divvy returns were everywhere in the city. 
A few of the bikes needed maintenance but overall in good shape."
693mandys,"Orange City, Florida",5,08/21/2018,Great way to travel the city,I had never done one of these before but just loved it. Was able to get around the city quickly and safely. Loved going on the bike trails. There are parking stations all over the city and it is a 24-hour service so I could take it out at night and come back. Much better than calling an uber or taking public transit. The bikes were very comfortable and even had 3 gears to change for maneuvering some of the hills. The stations were easy to return the bikes and get out a new one. Highly recommend.
MichaelMiMichael,"Chicago, Illinois",5,08/14/2018,Divvy bike riding is fun in Chicago summer!,One of the most fun things to do in Chicago in the summer.   Highly recommended!  Definitely try out the lake shore path!  :)
katiek886,"Minneapolis, Minnesota",5,08/03/2018,Do this!,"Even if you are going on a mile long walk from the loop to the pier, rent a bike. It's worth it. The kids loved it and so did the grown ups!You can see quite a bit of Chicago in a shorter period of time, relatively cheaper than a lyft."
