User_Name,User_Location,Stars,Entry_Date,Entry_Quote,Entry_Content
radioxenon,,1,04/18/2019,I was charged $8 for 2 minutes of riding which comes in at $240/hr.,"They clearly relay on false advertising which is pathetic. +$16/hr for a bike rental is usury to say the least. The fact that the pricing information is embedded five clicks down again demonstrates that this company is out to screw tourists and shirk any corporate responsibility. If you use this service read the fine print, know that after 90 minutes of bike riding you'll be charge $8/ 30 minute interval or fraction thereof. I was charge $8 for 2 minutes of riding which comes in at $240/hr which is my own little form of misrepresentation. I won't be using this company in the future and I can only imagine how many others have been burned by this company. Oh and one final note, the brakes on the bikes are crap."
Abigail B,,1,04/15/2019,"Random fees & absolutely no customer service -- don't use unless you're willing to pay $1,200 / bike","I live in the DC area and we've used the service a couple of times. It's such a great way to show friends the city. We used them most recently a couple of weeks ago for about two hours. We went to dock the bikes (there are guidelines for this, you watch videos, etc. to learn how) and began receiving texts that the bike wasn't docked. We returned to the docking station to make sure it was docked and did all their ""checks"" -- the bikes were docked. We called Capital Bikeshare three times and emailed twice that night, trying to solve the problem, but got no response. The next day we FINALLY got in touch with them and they immediately told us we'd be subject to a $1,200 stolen bike fee (?!). I explained the situation, that we had checked the bikes and tried to resolve the issue, and they said someone had JUST found the bike (?!) so they would make the feee $60 instead. I continued to ask questions and before long, when it was clear they weren't interested in what I was saying, I asked for a customer service number and the name of the representative. She said she didn't have to give me any information and hung up on me. I then contacted Lyft, the company who owns Capital Bikeshare, and was totally ignored for two weeks after multiple customer service tickets. (Keep in mind, they require your credit card info before you ride so they can charge you for anything they want afterward.) Ultimately, these bikes are a fun and cool idea. But know that if you ride them you're opening yourself up to $1,200 in fees if ANYTHING goes wrong (even if their technology fails!) with absolutely no customer service. I am not willing to take that risk, and unfortunately will not be using these bikes again."
jeremyraybrown,"Washington DC, District of Columbia",1,04/07/2019,SCAM ALERT!!!!!!!!!!!,"They have lots of crazy fees that are hidden in fine print. My wife and I rented 2 bike for fewer than 3 hours and were billed $92. NEVER use them. If you were to rent a few bikes for your family while visiting D.C. for just a half day, you could be billed $400 or more. This is a morally reprehensible business. They are evil. This is terrible. Check out my other reviews and you’ll find they are mostly joyful. That is proof this company is a special breed of con artist. I hate them as you can tell. The owner is garbage."
Ladymix17,,1,04/03/2019,I will never use it again.,"I recently bought a day pass for the bikes, rode them around while showing friends who visited from out of town around the monuments. Was charged $38, almost 5 times the amount for the day pass! They do not tell you at the kiosk or make it clear that you need to return the bike every 30 min and get a new one or else be charged extra fees- what’s the point of having a day pass then?! Its ridiculous and just stupid. What a waste, I could have gone with a cheaper option. I’ll be making sure to never use them again."
Lindsay K,,1,03/31/2019,Terrible Experience,We were on the bikes for an hour and they were great. Docked them properly and the green light turned on. We got a text saying they were docked properly and now we are being charged for not doing properly and calling and emailing them they hung up on us and refused to listen.
mjanep,"Boston, Massachusetts",5,03/31/2019,Great bikeshare program and app,"I think many negative reviews are due to user error. You have to understand that the rented bike must be returned within 39 minutes to avoid extra payment. I did 3 day rental, big savings vs. renting per day. Using smartphone app makes it very easy to see where bikes are available and where docks are free to return. The app can help plan a trip, and it shows preferred bike routes which are safer and less hilly. Much better than my home city app for its bikeshare program. Bring your helmet and then get out there to enjoy getting around DC!"
Thejammar,,1,03/20/2019,DO NOT USE,"Horrible experience. Rented bikes for less than 30 minutes. Returned and locked. Was charged $94 since it was ""out for 1 day and 3 hours."" They told me the docking light never turned green?? They were so generous in cutting my fee in half to $47 - only 5 times what it costs to rent for a day anyway. Don't waste your money or time with these people."
Tara W,,1,02/25/2019,Take an uber or rent a scooter,"Took the bike for what I thought would be a $2 and was charged $94 for ""improperly docking"" - I waited 30 to 45 seconds to see that the bike was fully locked before leaving the bike. I called to explain what happened and they didn't do anything. There were no reports of damage to the bike and it was docked the following day according to the manager. However, I am still required to pay over $40. This would have never been an issue had I taken Uber or rented a scooter, but I was hoping to save money."
GDJ13,"San Diego, California",1,01/01/2019,"Two bikes, $76 for 2 hours","Although we had fun riding in DC, I am annoyed that we were charged an additional $60 for unknown fees.  We chose the 24 hour option and rode for 2hours, total charge $76!!!"
Marissa M,,1,12/30/2018,DO NOT DO IT,"Worst mistake of renting a bike. We were exhausted from walking and in a sketchy part of town at night, trying to quickly access a bike and didn’t realize what we agreed to. We rode to the Lincoln memorial, parked, walked 5 steps away and took a picture and someone rode off on our bikes. On the scooters (that we used all day but we’re dead at this time) they had GPS’s and you can end your ride immediately if someone takes off on it. We didn’t realize the bikes weren’t like that (first time using it) and were devastated when they were gone, and read the “you’re responsible for up to $1200 if bike is not returned” part. Called customer service immediately and the nice lady reassured me if whoever stole them returned them, she would waive the fee. Well, the man I talked to today said he would not be able to do that and was super rude and said “well I could get my manager to review it but we don’t normally waive fees.. but like at least they returned the bike”... yes we’re SUPER grateful they returned the bikes... but it was 14hrs later (have to turn them in every 30min for no overage charges) so we were charged $94 each for a BIKE that we rode for maybe 20 minutes because we “abandoned it”... at the time I was frustrated because he was making it seem like I was lying to him about the lady saying she would waive the fee, so I said forget it because he was SO rude. It was a good 20 minutes while it lasted but if you’re in DC don’t you dare get off that bike at ALL for anything at all or you’ll be charged out the butt for a bike that isn’t even worth that much money. Rent a scooter, it’s cheaper in the long run and has a GPS. The lady in customer service was awesome, but the man who I spoke to today should not be in customer service at all. Such a shame because we enjoyed the bikes but we will not touch one again due to this awful experience. Find a different bike service. Get a scooter. Anything other than being possibly responsible for a $1200 charge for a freakin bicycle."
