User_Name,User_Location,Stars,Entry_Date,Entry_Quote,Entry_Content
Alberto R,,1,04/18/2019,"Legal fraud, bunch of crooks","Hired the bike for the first time last weekend to got to the park for a couple hours. Thought I'd pay 12$ or something for the whole day. Ended up being charged $47 for 2.5 hrs !! Called customer service and spoke with a super aggressive lady that wouldn't even let me speak. Obviously I was told that I had accepted the terms and conditions at the kiosk, hence I was on the hook. Not sure what the intent is to have such a service in the city - if it is to reduce pollution we are not moving in the right direction - I will never use it again ! This is what I call a legalized robbery..."
regjen79,"Waterloo, Canada",1,04/17/2019,I will never use Citibike again,"My husband and I wanted to spend the day exploring the cherry blossoms in Central Park. We had numerous problems with using citibikes. First of all we needed 2 bikes. We are from out of country so we’re only using my phone due to roaming fees. You can only rent 1 bike on your app??? What??? We had to use the kiosks to rent the other one and it wasn’t easy - took us about 10 minutes to finally get another one!! Now we only had 20 minutes before having to return the bike to a station (they only give you 1/2 hour before you have to dock your bike). Because you are not able to use your bikes on the smaller paths in Central Park, we rode for 15 minutes then had to walk our bike through a path to get to another docking station. Same deal - dock our bikes, get another code through the app, and takes a while before I could get the second one from the kiosk. So we ride again for 20 minutes then look for the next docking station. We get to it only to find there are NO BIKED available at that station. Yes we could ride to the next station but the app shows no bikes there either. And of course you are incurring extra fees of $4 for every 15 minutes you are over the 30 minute. Oh and on the kiosk - I could only buy a 3 day or week pass, not a one day!!! Again - WHAT?!?? So anyway we ended up walking for the second half of the day even though we had paid for a day pass!!! NOT user friendly, 1/2 hour is NOT long enough, kiosks need to be more user friendly (at every kiosk I had people asking ME how they worked), we incurred extra fees because we could not get to the next kiosk in 30 minutes. I really felt like this was a huge money grab and we did NOT get value for the money we spent. We likely actually rode the bikes for about 45 minutes and felt like we were always having to look for the next station. I would search a bike rental place next time and rent by the hour or day! Not cool at all Citibike!!!"
SavannahPool,Savannah,3,04/08/2019,"As a touris, a half hour is not enough",Need more time between getting a new bike. A half hour is not enough time. Spend too much time worrying about getting to the next bike and returning to a place that will have a docking station available. Love riding bikes during the weekend with less traffic but it is a hassle for someone who doesn’t know their way around. The bikes we rode were nice and easy to ride. Learning how to properly dock the bike is tricky. If I lived there it would be better.
vlynch123,"Cambridge, United Kingdom",5,03/21/2019,A great & affordable way to see the City!,"While on a 4 day trip to NY my husband and I were a little apprehensive about cycling in a big city but on day 3 we gave it a go and it was the best decision! Getting from A to B was so much easier and we opted to spend the extra and always used the electric models. The bikes were such a quicker option and by ensuring we docked every 30 mins we were never charged additional fees. We used them again on Day 4 to bike across the Brooklyn Bridge, a quick Pizza stop and bike back - an amazing experience with great memories!When we return next year we will get 3 day pass now we know how it works - make sure you download the App beforehand and get use to it - the map showing available docks & electric bikes is invaluable.Really good affordable fun! "
Nicola T,"Newport, United Kingdom",3,03/01/2019,Certainly an experience,"We rented two bikes to get us around NYC. As you can't hire two bikes via the app we had to do one online and one via the kiosk which was annoying but not a huge issue. We first took out the bikes to cycle back over Brooklyn Bridge which was lovely, there is a docking staton at the other side so this was nice and easy. Once we got into the city however, our experience changed somewhat. The roads are so so busy and so are the cycle lanes (which are hard to find even when you use the app). We ended up coming out of the city and cycling up from battery park to West 46th street along the side of the Hudson. This riverside park has a brilliant cycle lane and is much quieter and safer than trying to battle the traffic in the city.The bikes are very heavy and can tire you out easily if you aren't used to cycling.They are however, good value for money, easy to use and there are lots of bike parks. 30 mins is nowhere near long enough though!! I wouldn't recommend them in Central park as the bike lanes are very limited and cycling on footpaths is not allowed, plus, by the time you get into the park and get going, it's time to start heading out to swap the bike before your 30 mins is up!"
Charlie C,"London, United Kingdom",5,01/29/2019,Very good if a little expensive,"We were very, very impressed with the Citi bikes in New York. Yes it is expensive compared to other schemes but the cycle paths were brilliant, the app was very useful and there were docking stations every few blocks, so much easier to use than in London - I would strongly recommend. It is a far faster way of seeing the City than walking."
Getaway783051,"Coral Springs, Florida",3,01/16/2019,Meh,"We were excited to ride bikes in NY, but this Citi Bike System seems geared more towards locals. The system was confusing for us and thankfully a maintenance person happened to be nearby to help us pay for and unlock our bikes. The Citi System is good for getting from point A to point B, but that is all I would recommend them for. The bikes have to be ""re-checked"" out every 1/2 hour and it was difficult to find a station to do this is when you don't know the city you are in. Also the bikes were a bit stiff to ride with no turning radius. I guess I would recommend this to a local who needed a quick trip to work or the grocery. Not necessarily tourist friendly, IMO."
Beth S,,1,01/13/2019,Sh**ty bike,"Sh*tty bike! They’re always broken and customer service is non-existent, but sometimes it’s the best of bad options. Be better citi bike. I know you wont."
hamed808,"College Station, Texas",1,01/10/2019,Terrible experience,"It is terrible. I purchased a one day pass of 12$ and used the bike for 3 hours. It supposed to be returned every 30 minutes!!! However, my cellphone ran out of the battery and I couldn't find their rack to return every 30 minutes. So, they charged me an extra 60 dollars for that. It means I paid 72$ for just 3 hours. Citibike was my most terrible experience in the NYC."
Gordon F,"Edinburgh, United Kingdom",1,01/08/2019,Scam,"We rented three bikes for one day on the 27th of December and the cost was $39 with tax. We returned the bikes within 24hr permitted period. On our return, we checked our credit card statement and there was a $39 charge and $108 charge for the 31st of December. We left New York on the 30th! We went to the Citi Bike website and they came back to us immediately and asked for a few details and then refunded us without any question. My worry is how many people bother to chase Citi Bike for the money 1 or 2 out of every 10? Who knows. Most people take it on the chin and put it down to experience. There are 68 million visitors to NYC every year. SCAM"
